CONSTITUENCY,STATE,NO_OF_CANDIDATES
SRIGUFWARA,"JAMMU & KASHMIR",4
AKHNOOR,"JAMMU & KASHMIR",4
BILLAWAR,"JAMMU & KASHMIR",5
BASOHLI,"JAMMU & KASHMIR",5
BUDHAL,"JAMMU & KASHMIR",5
GUREZ,"JAMMU & KASHMIR",6
KATHUA,"JAMMU & KASHMIR",6
NOWSHERA,"JAMMU & KASHMIR",6
URI,"JAMMU & KASHMIR",7
KANGAN,"JAMMU & KASHMIR",7
CHADOORA,"JAMMU & KASHMIR",7
"D. H. PORA","JAMMU & KASHMIR",7
PAHALGAM,"JAMMU & KASHMIR",7
PADDER,"JAMMU & KASHMIR",7
GULABGARH,"JAMMU & KASHMIR",7
HIRANAGAR,"JAMMU & KASHMIR",7
MARH,"JAMMU & KASHMIR",7
THANNAMANDI,"JAMMU & KASHMIR",7
HANDWARA,"JAMMU & KASHMIR",8
KISHTWAR,"JAMMU & KASHMIR",8
BANIHAL,"JAMMU & KASHMIR",8
REASI,"JAMMU & KASHMIR",8
"SHRI MATA VAISHNO DEVI","JAMMU & KASHMIR",8
RAMNAGAR,"JAMMU & KASHMIR",8
RAMGARH,"JAMMU & KASHMIR",8
KARNAH,"JAMMU & KASHMIR",9
KUPWARA,"JAMMU & KASHMIR",9
CHANNAPORA,"JAMMU & KASHMIR",9
BUDGAM,"JAMMU & KASHMIR",9
"DODA WEST","JAMMU & KASHMIR",9
RAMBAN,"JAMMU & KASHMIR",9
BANI,"JAMMU & KASHMIR",9
JASROTA,"JAMMU & KASHMIR",9
NAGROTA,"JAMMU & KASHMIR",9
CHHAMB,"JAMMU & KASHMIR",9
RAJOURI,"JAMMU & KASHMIR",9
SURANKOTE,"JAMMU & KASHMIR",9
"POONCH HAVELI","JAMMU & KASHMIR",9
TRAL,"JAMMU & KASHMIR",10
DEVSAR,"JAMMU & KASHMIR",10
"ANANTNAG WEST","JAMMU & KASHMIR",10
INDERWAL,"JAMMU & KASHMIR",10
DODA,"JAMMU & KASHMIR",10
"UDHAMPUR EAST","JAMMU & KASHMIR",10
CHENANI,"JAMMU & KASHMIR",10
BISHNAH,"JAMMU & KASHMIR",10
"JAMMU EAST","JAMMU & KASHMIR",10
MENDHAR,"JAMMU & KASHMIR",10
TREHGAM,"JAMMU & KASHMIR",11
KHANYAR,"JAMMU & KASHMIR",11
"LAL CHOWK","JAMMU & KASHMIR",11
ZADIBAL,"JAMMU & KASHMIR",11
KHANSAHIB,"JAMMU & KASHMIR",11
"CHRAR-I- SHARIEF","JAMMU & KASHMIR",11
RAJPORA,"JAMMU & KASHMIR",11
ZAINAPORA,"JAMMU & KASHMIR",11
KULGAM,"JAMMU & KASHMIR",11
DOORU,"JAMMU & KASHMIR",11
KOKERNAG,"JAMMU & KASHMIR",11
BHADARWAH,"JAMMU & KASHMIR",11
LOLAB,"JAMMU & KASHMIR",12
SHOPIAN,"JAMMU & KASHMIR",12
VIJAYPUR,"JAMMU & KASHMIR",12
SUCHETGARH,"JAMMU & KASHMIR",12
KALAKOTE,"JAMMU & KASHMIR",12
RAFIABAD,"JAMMU & KASHMIR",13
WAGOORA,"JAMMU & KASHMIR",13
BEERWAH,"JAMMU & KASHMIR",13
PULWAMA,"JAMMU & KASHMIR",13
"UDHAMPUR WEST","JAMMU & KASHMIR",13
BAHU,"JAMMU & KASHMIR",13
"JAMMU WEST","JAMMU & KASHMIR",13
GULMARG,"JAMMU & KASHMIR",14
PATTAN,"JAMMU & KASHMIR",14
HAZRATBAL,"JAMMU & KASHMIR",14
EIDGAH,"JAMMU & KASHMIR",14
"CENTRAL SHALTENG","JAMMU & KASHMIR",14
ANANTNAG,"JAMMU & KASHMIR",14
SHANGUS,"JAMMU & KASHMIR",14
PAMPORE,"JAMMU & KASHMIR",15
SAMBA,"JAMMU & KASHMIR",15
"R. S. PURA- JAMMU SOUTH","JAMMU & KASHMIR",15
LANGATE,"JAMMU & KASHMIR",16
GANDERBAL,"JAMMU & KASHMIR",16
HABBAKADAL,"JAMMU & KASHMIR",17
"JAMMU NORTH","JAMMU & KASHMIR",18
SONAWARI,"JAMMU & KASHMIR",19
BANDIPORA,"JAMMU & KASHMIR",20
SOPORE,"JAMMU & KASHMIR",21
BARAMULLA,"JAMMU & KASHMIR",26
