STATE,PARTY,SILVER_MEDALS
"JAMMU & KASHMIR",Independent,19
"JAMMU & KASHMIR","Jammu & Kashmir Peoples Democratic Party",18
"JAMMU & KASHMIR","Indian National Congress",17
"JAMMU & KASHMIR","Bharatiya Janata Party",11
"JAMMU & KASHMIR","Jammu & Kashmir National Conference",11
"JAMMU & KASHMIR","Jammu and Kashmir Apni Party",5
"JAMMU & KASHMIR","Jammu & Kashmir People Conference",5
"JAMMU & KASHMIR","J&K National Panthers Party (India)",2
"JAMMU & KASHMIR","Bahujan Samaj Party",1
"JAMMU & KASHMIR","Jammu And Kashmir Peoples Democratic Front (Secular)",1
