STATE,PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"JAMMU & KASHMIR","Communist Party of India  (Marxist)",4000000,33634,118.9273
"JAMMU & KASHMIR","Jammu & Kashmir National Conference",224000000,1336147,167.6462
"JAMMU & KASHMIR","Bharatiya Janata Party",248000000,1462225,169.6045
"JAMMU & KASHMIR","Indian National Congress",156000000,682666,228.5158
"JAMMU & KASHMIR","J&K National Panthers Party (India)",16000000,66295,241.3455
"JAMMU & KASHMIR","Jammu And Kashmir Peoples Democratic Front (Secular)",12000000,29377,408.4828
"JAMMU & KASHMIR","Jammu & Kashmir People Conference",80000000,141692,564.6049
"JAMMU & KASHMIR","Jammu & Kashmir Peoples Democratic Party",320000000,505948,632.4761
"JAMMU & KASHMIR","Peoples Democratic Party",4000000,5486,729.1287
"JAMMU & KASHMIR","Aam Aadmi Party",28000000,29733,941.7146
"JAMMU & KASHMIR","Jammu and Kashmir Apni Party",184000000,191827,959.1976
"JAMMU & KASHMIR","Democratic Progressive Azad Party",92000000,68393,1345.1669
"JAMMU & KASHMIR",Independent,1384000000,948985,1458.4003
"JAMMU & KASHMIR","Bahujan Samaj Party",112000000,54822,2042.9754
"JAMMU & KASHMIR","Janata Dal  (United)",20000000,7347,2722.1995
"JAMMU & KASHMIR","None of the Above",360000000,84397,4265.5545
"JAMMU & KASHMIR","All Jammu & Kashmir Liberal Democratic Party",8000000,1330,6015.0376
"JAMMU & KASHMIR","Aman Aur Shanti Tehreek-E-Jammu & Kashmir",4000000,646,6191.9505
"JAMMU & KASHMIR","Garib Democratic Party",4000000,629,6359.3005
"JAMMU & KASHMIR","Aazad Samaj Party (Kanshi Ram)",20000000,3075,6504.0650
"JAMMU & KASHMIR","Liberal Democratic Party",8000000,1049,7626.3108
"JAMMU & KASHMIR","National Youth Party",4000000,489,8179.9591
"JAMMU & KASHMIR","Azad Samaj Party",4000000,463,8639.3089
"JAMMU & KASHMIR","Jammu & Kashmir Awami National Conference",44000000,4879,9018.2414
"JAMMU & KASHMIR","Republican Party of India (A)",16000000,1710,9356.7251
"JAMMU & KASHMIR","Jammu and Kashmir Nationalist Peoples Front",16000000,1640,9756.0976
"JAMMU & KASHMIR","Samajwadi Party",80000000,8198,9758.4777
"JAMMU & KASHMIR","Jammu & Kashmir National Panthers Party (Bhim)",84000000,7605,11045.3649
"JAMMU & KASHMIR","Bhim Sena",36000000,3083,11676.9380
"JAMMU & KASHMIR","Rashtriya Lok Dal",36000000,3019,11924.4783
"JAMMU & KASHMIR","Shiv Sena (Uddhav Balasaheb Thackeray)",36000000,2880,12500.0000
"JAMMU & KASHMIR","Jammu & Kashmir All Alliance Democratic Party",36000000,2810,12811.3879
"JAMMU & KASHMIR","Anarakshit Samaj Party",8000000,596,13422.8188
"JAMMU & KASHMIR","Republican Party of India (Athawale)",16000000,1093,14638.6093
"JAMMU & KASHMIR","Bharat Jodo Party",4000000,273,14652.0147
"JAMMU & KASHMIR","Bharatiya Sampuran Krantikari Party",4000000,269,14869.8885
"JAMMU & KASHMIR","National Loktantrik Party",12000000,806,14888.3375
"JAMMU & KASHMIR","Rashtriya Lok Janshakti Party",20000000,1337,14958.8631
"JAMMU & KASHMIR","National Awami United Party",12000000,715,16783.2168
"JAMMU & KASHMIR","All India Forward Bloc",16000000,923,17334.7779
"JAMMU & KASHMIR","Nationalist Congress Party",36000000,1961,18357.9806
"JAMMU & KASHMIR","Hindustan Shakti Sena",8000000,409,19559.9022
"JAMMU & KASHMIR","National Democratic Party (Indian)",4000000,199,20100.5025
"JAMMU & KASHMIR","National Republic Party Of India",4000000,184,21739.1304
"JAMMU & KASHMIR","Sampoorna Bharat Kranti Party",12000000,533,22514.0713
"JAMMU & KASHMIR","Sainik Samaj Party",8000000,348,22988.5057
"JAMMU & KASHMIR","ShivSena (Uddhav Balasaheb Thackeray)",4000000,126,31746.0317
"JAMMU & KASHMIR","Haq Insaaf Party",4000000,73,54794.5205
