STATE,PARTY,SEATS_PARTICIPATED,SEATS_WON,SUCCESS_RATIO
"JAMMU & KASHMIR","Communist Party of India  (Marxist)",1,1,100.0000
"JAMMU & KASHMIR","Jammu & Kashmir National Conference",56,42,75.0000
"JAMMU & KASHMIR","Bharatiya Janata Party",62,29,46.7742
"JAMMU & KASHMIR","Indian National Congress",39,6,15.3846
"JAMMU & KASHMIR","Aam Aadmi Party",7,1,14.2857
"JAMMU & KASHMIR",Independent,83,7,8.4337
"JAMMU & KASHMIR","Jammu & Kashmir People Conference",20,1,5.0000
"JAMMU & KASHMIR","Jammu & Kashmir Peoples Democratic Party",80,3,3.7500
"JAMMU & KASHMIR","None of the Above",90,NULL,NULL
"JAMMU & KASHMIR","Jammu and Kashmir Apni Party",46,NULL,NULL
"JAMMU & KASHMIR","Bahujan Samaj Party",28,NULL,NULL
"JAMMU & KASHMIR","Democratic Progressive Azad Party",23,NULL,NULL
"JAMMU & KASHMIR","Jammu & Kashmir National Panthers Party (Bhim)",21,NULL,NULL
"JAMMU & KASHMIR","Samajwadi Party",20,NULL,NULL
"JAMMU & KASHMIR","Jammu & Kashmir Awami National Conference",11,NULL,NULL
"JAMMU & KASHMIR","Bhim Sena",9,NULL,NULL
"JAMMU & KASHMIR","Jammu & Kashmir All Alliance Democratic Party",9,NULL,NULL
"JAMMU & KASHMIR","Nationalist Congress Party",9,NULL,NULL
"JAMMU & KASHMIR","Rashtriya Lok Dal",9,NULL,NULL
"JAMMU & KASHMIR","Shiv Sena (Uddhav Balasaheb Thackeray)",9,NULL,NULL
"JAMMU & KASHMIR","Aazad Samaj Party (Kanshi Ram)",5,NULL,NULL
"JAMMU & KASHMIR","Janata Dal  (United)",5,NULL,NULL
"JAMMU & KASHMIR","Rashtriya Lok Janshakti Party",5,NULL,NULL
"JAMMU & KASHMIR","All India Forward Bloc",4,NULL,NULL
"JAMMU & KASHMIR","J&K National Panthers Party (India)",4,NULL,NULL
"JAMMU & KASHMIR","Jammu and Kashmir Nationalist Peoples Front",4,NULL,NULL
"JAMMU & KASHMIR","Republican Party of India (A)",4,NULL,NULL
"JAMMU & KASHMIR","Republican Party of India (Athawale)",4,NULL,NULL
"JAMMU & KASHMIR","Jammu And Kashmir Peoples Democratic Front (Secular)",3,NULL,NULL
"JAMMU & KASHMIR","National Awami United Party",3,NULL,NULL
"JAMMU & KASHMIR","National Loktantrik Party",3,NULL,NULL
"JAMMU & KASHMIR","Sampoorna Bharat Kranti Party",3,NULL,NULL
"JAMMU & KASHMIR","All Jammu & Kashmir Liberal Democratic Party",2,NULL,NULL
"JAMMU & KASHMIR","Anarakshit Samaj Party",2,NULL,NULL
"JAMMU & KASHMIR","Hindustan Shakti Sena",2,NULL,NULL
"JAMMU & KASHMIR","Liberal Democratic Party",2,NULL,NULL
"JAMMU & KASHMIR","Sainik Samaj Party",2,NULL,NULL
"JAMMU & KASHMIR","Aman Aur Shanti Tehreek-E-Jammu & Kashmir",1,NULL,NULL
"JAMMU & KASHMIR","Azad Samaj Party",1,NULL,NULL
"JAMMU & KASHMIR","Bharat Jodo Party",1,NULL,NULL
"JAMMU & KASHMIR","Bharatiya Sampuran Krantikari Party",1,NULL,NULL
"JAMMU & KASHMIR","Garib Democratic Party",1,NULL,NULL
"JAMMU & KASHMIR","Haq Insaaf Party",1,NULL,NULL
"JAMMU & KASHMIR","National Democratic Party (Indian)",1,NULL,NULL
"JAMMU & KASHMIR","National Republic Party Of India",1,NULL,NULL
"JAMMU & KASHMIR","National Youth Party",1,NULL,NULL
"JAMMU & KASHMIR","Peoples Democratic Party",1,NULL,NULL
"JAMMU & KASHMIR","ShivSena (Uddhav Balasaheb Thackeray)",1,NULL,NULL
